"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"261","13","D130058E05Rik",15.14,0,0.314,0.128,0
"262","13","Ugt8a",12.31,0,0.61,0.07,0
"263","13","Irf6",11.73,0,0.756,0.046,0
"264","13","Ocln",11.7,0,0.72,0.099,0
"265","13","Gdf6",11.49,0,0.588,0.249,0
"266","13","Atp2b2",11.37,0,0.54,0.085,0
"267","13","Dnah2os",11.31,0,0.67,0.069,0
"268","13","Frmd5",11.01,0,0.621,0.131,0
"269","13","Serpina1e",10.75,0,0.502,0.047,0
"270","13","Six2",10.59,0,0.59,0.132,0
"271","13","Plek2",10.59,0,0.758,0.055,0
"272","13","Wnk4",10.54,0,0.67,0.083,0
"273","13","Bmx",10.49,0,0.982,0.07,0
"274","13","Pdzk1ip1",10.04,0,0.588,0.122,0
"275","13","Rph3al",9.94,0,0.735,0.11,0
"276","13","Raet1e",9.67,0,0.471,0.202,0.39
"277","13","Prokr2",9.63,0,0.801,0.018,0
"278","13","Pla2g5",9.56,0,0.724,0.078,0
"279","13","Ecrg4",9.55,0,0.901,0.064,0
"280","13","Col4a3",9.48,0,0.666,0.151,0
"281","14","Eomes",17.95,0,0.755,0.241,0
"282","14","Cd96",16.58,0,0.799,0.082,0
"283","14","Ccdc184",15.93,0,0.841,0.12,0
"284","14","Klre1",15.84,0,0.889,0.171,0
"285","14","Nsg2",15.82,0,0.598,0.169,0
"286","14","Itk",14.93,0,0.76,0.028,0
"287","14","Xlr4a",14.44,0,0.38,0.066,1
"288","14","Il7r",13.92,0,0.921,0.063,0
"289","14","Chdh",13.48,0,0.758,0.243,0
"290","14","Sh2d1a",13.28,0,0.697,0.051,0
"291","14","Hcst",12.86,0,0.972,0.074,0
"292","14","Gm2682",12.74,0,0.526,0.04,0
"293","14","Csf2",12.42,0,0.825,0.217,0
"294","14","Cd5",12.37,0,0.703,0.089,0
"295","14","Izumo1r",12.27,0,0.478,0.062,0.05
"296","14","Cd6",12.08,0,0.64,0.086,0
"297","14","Trac",11.95,0,0.762,0.07,0
"298","14","Recql4",11.87,0,0.225,0.118,0
"299","14","Tcf7",11.79,0,0.834,0.069,0
"300","14","Lck",11.64,0,0.782,0.059,0
"301","15","Hbq1b",15.08,0,0.483,0.056,0
"302","15","Ube2o",11.47,0,0.796,0.184,0
"303","15","Tent5c",9.76,0,0.962,0.141,0
"304","15","Mkrn1",9.72,0,0.984,0.206,0
"305","15","Epb41",9.3,0,0.946,0.223,0
"306","15","Prxl2a",8.97,0,0.519,0.168,0
"307","15","Isg20",8.86,0,0.879,0.164,0
"308","15","Tspo2",8.79,0,0.569,0.098,0
"309","15","Slc25a37",8.45,0,0.901,0.184,0
"310","15","Snca",8.24,0,0.987,0.039,0
"311","15","Gypa",8.24,0,0.593,0.065,0
"312","15","Fech",8.16,0,0.847,0.227,0
"313","15","Ube2l6",8.07,0,0.978,0.141,0
"314","15","Rec114",7.99,0,0.827,0.045,0
"315","15","Bnip3l",7.7,0,0.926,0.333,0
"316","15","Bpgm",7.66,0,0.993,0.122,0
"317","15","Tfdp2",7.57,0,0.539,0.245,0
"318","15","Eif5",7.28,0,0.128,0.379,0
"319","15","Ube2c",7.22,0,0.739,0.062,0
"320","15","Apol11b",7.11,0,0.481,0.025,0
"321","16","mt-Co3",12.02,0,1,0.277,0
"322","16","mt-Atp6",11.64,0,1,0.271,0
"323","16","mt-Nd4",11.53,0,1,0.272,0
"324","16","mt-Co2",11.5,0,1,0.277,0
"325","16","mt-Nd5",10.65,0,1,0.328,0
"326","16","mt-Nd1",10.64,0,1,0.271,0
"327","16","mt-Nd2",10.53,0,1,0.274,0
"328","16","mt-Nd3",9.73,0,1,0.299,0
"329","16","mt-Nd4l",9.4,0,1,0.332,0
"330","16","Hoxc5",8.58,0,0.008,0.244,0
"331","16","mt-Co1",8.35,0,1,0.283,0
"332","16","mt-Atp8",8.11,0,0.987,0.334,0
"333","16","mt-Cytb",8.1,0,1,0.28,0
"334","16","Clybl",7.54,0,0.077,0.179,0.04
"335","16","Cmya5",6.71,0,0.019,0.169,0
"336","16","Stx1a",6.29,0,0.04,0.216,0.08
"337","16","Ppme1",5.95,0,0.008,0.239,0.93
"338","16","Acadl",5.84,0,0.101,0.312,0
"339","16","Bmpr1b",4.95,0,0.013,0.194,0.41
"340","16","mt-Nd6",4.8,0,0.765,0.296,0
"341","17","Htr2b",13.82,0,0.682,0.015,0
"342","17","4833422C13Rik",13.43,0,0.511,0.162,0
"343","17","Clca3a1",12.7,0,0.932,0.052,0
"344","17","Sh2d4b",12.3,0,0.3,0.177,0.07
"345","17","Adgrg3",12.18,0,0.375,0.159,1
"346","17","Atp8a2",11.87,0,0.646,0.085,0
"347","17","Ctnnal1",11.27,0,0.811,0.161,0
"348","17","Nts",11.24,0,0.782,0.139,0
"349","17","Masp1",11.22,0,0.407,0.117,1
"350","17","Psen2",11.07,0,0.854,0.249,0
