"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pkp4",0.166172067818128,11.0607825048271,10.5808612009522,5.01581162698374e-26,5.96056045987372e-26,47.2023873840526
"Zfhx3",0.165080505531339,11.1673426971294,10.5649789496176,5.93058104543314e-26,7.04344542212962e-26,47.054792301971
"Cyb5r3",0.160811493755567,11.0959326607832,10.5420474588691,7.55023245222014e-26,8.95107581768836e-26,46.8049031634803
"Hk2",-0.0931659316570137,10.1341317448263,-10.6006764133933,4.06837722760645e-26,4.83754723853324e-26,46.7112709337763
"Ier3",-0.120517277992043,10.3104294821943,-10.5592283510545,6.30107485417678e-26,7.47902059842941e-26,46.5933555196827
"Lama4",-0.135703925651894,10.4293647245847,-10.5375254355379,7.91795764406107e-26,9.37591195270701e-26,46.5082793912602
"Gclc",-0.089770319752537,10.1368228524381,-10.5480110627671,7.09104937806682e-26,8.4116837224992e-26,46.1753803888826
"Bmp3",-0.0775243102385499,10.0795701600806,-10.5403353729022,7.68742183001072e-26,9.10831970380417e-26,45.9787445797259
"Rps7",0.0928837770478292,12.2120568595633,10.4398368053351,2.20137952102063e-25,2.59903131171267e-25,45.7735906782914
"Ahnak2",-0.128255492123369,10.4303190884665,-10.4551022322037,1.87742232270211e-25,2.22048766729995e-25,45.6521229792616
"Chd2",-0.109353831631536,10.2411731965499,-10.4667875685553,1.66179213103108e-25,1.96661790654566e-25,45.5251909749553
"Efnb2",-0.107083078028536,10.2438139874025,-10.4533278629132,1.91250507429613e-25,2.26064429585831e-25,45.3935694929201
"Serpinb6a",-0.156535273721275,10.9260192700145,-10.3982252199654,3.39351267378116e-25,4.00414474782437e-25,45.3020202714952
"Tsix",-0.0998322404747221,10.1130947468483,-10.4479638795078,2.02256136525729e-25,2.38932234525374e-25,45.0841153978108
"Efna5",-0.10720336753718,10.2624267674889,-10.3733253957646,4.39312970701327e-25,5.17752469889601e-25,44.5974705236748
"Sub1",0.147368941076559,10.9389442820237,10.3293765486788,6.91904923632388e-25,8.14964574360881e-25,44.5787934161702
"Ints6l",-0.0979703739892894,10.1370600289573,-10.3897248432364,3.70643109938887e-25,4.37079139078877e-25,44.5395520114008
"Tm6sf1",-0.0949473864244315,10.1891892971362,-10.2846710117998,1.09619923502211e-24,1.2904052207441e-24,43.5671161924379
"Aspn",-0.112711892130132,10.2425196360766,-10.2487180264818,1.58490215011005e-24,1.86459076483535e-24,43.2977151247408
"Prr13",-0.104877551844716,10.288619062089,-10.2303930819389,1.91162808350488e-24,2.24765206761302e-24,43.1861638061732
"Rpl12",0.0990782952087539,12.0602791350073,10.1618352981768,3.84327118779122e-24,4.5108816758113e-24,42.946387344763
"Irs2",-0.109435743085001,10.2552385232431,-10.1976410729665,2.67018799389849e-24,3.13586376265236e-24,42.7984164029319
"Ltbp2",-0.0716849333285872,10.0606968080366,-10.2159132417962,2.21628215116106e-24,2.60432685212815e-24,42.6049891351902
"Peli1",-0.102469191685458,10.2512100162118,-10.1528854671199,4.20872141983351e-24,4.93691662150558e-24,42.3460889973452
"Fn1",0.159082243174332,11.900493180558,10.0657128814537,1.01541305652637e-23,1.19040217646702e-23,41.9888208276863
"Bmp2",-0.0740008051615249,10.1026553475451,-9.93838434856305,3.6277051957698e-23,4.25038687260668e-23,39.9300071286451
"Ier2",-0.147814706702734,10.5634620857785,-9.80237954467076,1.38939849188452e-22,1.62597834041488e-22,39.2129613449704
"Gstt2",-0.0714702508384004,10.095900608033,-9.83277058497095,1.03081046987301e-22,1.20703802092858e-22,38.8871061856994
"Dennd4a",-0.0975475029947592,10.2046579571709,-9.79942656095054,1.43022271706896e-22,1.67277510768299e-22,38.776194925103
"Serpinb6b",-0.0858703376811789,10.1849654148099,-9.77136803395537,1.88245271180121e-22,2.20041228731877e-22,38.4664424374448
"Id3",0.155053882334592,11.3434528792964,9.70046636511633,3.75639861698998e-22,4.38831614134344e-22,38.4091813628053
"Dock10",-0.0910508175637705,10.1692694300589,-9.68167958780979,4.50736905167953e-22,5.26254413506075e-22,37.5688208274199
"Slc38a1",-0.0818765779382709,10.1550858073272,-9.60405530450122,9.5367811562044e-22,1.1128099365466e-21,36.8029796527642
"Malt1",-0.0807202403690486,10.1143899072847,-9.58165503980976,1.18265453118528e-21,1.37918895765047e-21,36.5026948701417
"Ppp1r14b",-0.112725515947069,10.395807511149,-9.51367824647003,2.26558057410768e-21,2.63592853299323e-21,36.3162125311934
