VolcanoPlot	Counts	Log2					
#Analysis Name	M-691_allSlides						
#Dataset Name	Q3 Norm						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"target after filtering, All Targets"	Rbpms	-2.414929094	9.32859707287428e-133	1.39723726957511e-128	132.0301837	127.8547298
	"target after filtering, All Targets"	Nanos1	-1.200063045	2.12386348528076e-132	3.18112272825353e-128	131.6728734	127.4974196
	"target after filtering, All Targets"	2310047D07Rik	0.624692266	2.36834323602287e-132	3.54730449891505e-128	131.6255554	127.4501015
	"target after filtering, All Targets"	Gp1ba	-0.310772525	6.73019056149697e-132	1.00804794230102e-127	131.1719726	126.9965188
	"target after filtering, All Targets"	Jph4	-1.215948054	3.51147401087751e-131	5.25948577349233e-127	130.4545105	126.2790567
	"target after filtering, All Targets"	Cdh3	-1.986586163	3.75496387513329e-131	5.62418489217464e-127	130.4253942	126.2499404
	"target after filtering, All Targets"	Kbtbd13	-1.557196986	1.13647991260899e-130	1.70221961310575e-126	129.9444382	125.7689844
	"target after filtering, All Targets"	Postn	-2.500615766	1.42466103388493e-130	2.13385729655284e-126	129.8462885	125.6708346
	"target after filtering, All Targets"	Pde6a	-0.962157258	1.48299407990845e-130	2.22122853288688e-126	129.8288606	125.6534068
	"target after filtering, All Targets"	D830025C05Rik	-7.510071867	1.99554241802518e-130	2.98892343371812e-126	129.699939	125.5244852
	"target after filtering, All Targets"	C78859	0.537568982	4.13305269673931e-130	6.19048632917614e-126	129.3837291	125.2082752
	"target after filtering, All Targets"	Fbxl22	-0.944078016	4.75170200645785e-130	7.11709926527257e-126	129.3231508	125.147697
	"target after filtering, All Targets"	Ptprz1	-3.368717776	2.35670269145559e-129	3.52986929126219e-125	128.6276952	124.4522414
	"target after filtering, All Targets"	Wwp2	-5.181510831	2.40421188950229e-129	3.60102856809653e-125	128.6190273	124.4435734
	"target after filtering, All Targets"	Ppp1r26	0.37379786	3.77877066805295e-129	5.65984270660971e-125	128.4226495	124.2471956
	"target after filtering, All Targets"	Ppp1r12b	-1.379246608	1.31300614306998e-128	1.96662060109022e-124	127.8817332	123.7062794
	"target after filtering, All Targets"	Mybpc2	-1.35081142	2.77571127500962e-128	4.15746034770941e-124	127.5566257	123.3811719
	"target after filtering, All Targets"	Gm14634	-1.356428415	3.26506647188968e-128	4.89041656159636e-124	127.486108	123.3106541
	"target after filtering, All Targets"	Gm47121	-1.331718128	6.59431117114931e-126	9.87695927214744e-122	125.1808306	121.0053767
	"target after filtering, All Targets"	Lmtk3	-1.655435536	9.53494459642639e-126	1.42814400165275e-121	125.0206818	120.845228
	"target after filtering, All Targets"	Gm28112	-1.09226549	1.14238263079146e-125	1.71106070439946e-121	124.9421884	120.7667346
	"target after filtering, All Targets"	Sgsm1	-9.348479325	1.93845315813619e-125	2.90341514025639e-121	124.7125447	120.5370909
	"target after filtering, All Targets"	Taf9	0.346595607	1.96624776368228e-125	2.94504590044331e-121	124.7063618	120.5309079
	"target after filtering, All Targets"	Kbtbd12	-2.395922971	1.98662836823373e-125	2.97557196994049e-121	124.7018834	120.5264295
	"target after filtering, All Targets"	Nalcn	-2.021706442	2.53630584998023e-125	3.79887890210038e-121	124.5957984	120.4203446
	"target after filtering, All Targets"	Gramd2	-0.360449046	2.79811660280717e-125	4.19101904768457e-121	124.5531342	120.3776804
	"target after filtering, All Targets"	9030624G23Rik	-3.799462984	2.89907719304252e-125	4.34223781973909e-121	124.5377402	120.3622864
	"target after filtering, All Targets"	Adamts8	-2.30317604	7.15649799145433e-125	1.07190026916003e-120	124.1452994	119.9698456
	"target after filtering, All Targets"	C330013E15Rik	-0.805023993	7.4098622558955e-125	1.10984916868803e-120	124.1301899	119.954736
	"target after filtering, All Targets"	Gm21691	2.918816444	1.34025804287909e-123	2.00743849662431e-119	122.8728116	118.6973578
	All Targets	Gm35248	-0.902227464	1.70012259758588e-123	2.54644362666413e-119	122.7695198	118.5940659
	"target after filtering, All Targets"	Ccdc3	-0.756448272	7.27657295999822e-123	1.08988509794853e-118	122.1380731	117.9626193
	All Targets	Gm17276	-0.998148221	4.07831212144782e-122	6.10849589550455e-118	121.3895195	117.2140657
	"target after filtering, All Targets"	Gm10516	-0.5247605	4.27392698516304e-122	6.4014878383772e-118	121.3691729	117.1937191
	All Targets	Gm10553	7.992936517	6.28452444286871e-122	9.41296071052876e-118	121.2017276	117.0262738
	All Targets	Gsn	-1.264352171	3.03578201238574e-121	4.54699429815136e-117	120.5177294	116.3422756
	"target after filtering, All Targets"	Amd2	-1.989682504	3.55755670982171e-121	5.32850843997096e-117	120.4488482	116.2733943
	"target after filtering, All Targets"	9030407P20Rik	-0.683114849	3.65760612447576e-121	5.4783624532398e-117	120.4368031	116.2613492
	"target after filtering, All Targets"	Ppif	-1.621246124	4.14644248874311e-121	6.21054155963943e-117	120.3823244	116.2068705
	"target after filtering, All Targets"	Nkg7	-1.974731501	2.66059065207344e-120	3.98503267867559e-116	119.5750219	115.3995681
	"target after filtering, All Targets"	Slc25a47	1.17550433	2.79203661400093e-120	4.18191244045059e-116	119.5540789	115.3786251
	"target after filtering, All Targets"	Thsd4	-0.462400112	5.98578095675185e-120	8.96550271702292e-116	119.2228792	115.0474254
	"target after filtering, All Targets"	Ephb2	-4.141003048	6.48248755205481e-120	9.7094698554677e-116	119.1882583	115.0128045
	"target after filtering, All Targets"	Mylk	-2.068996087	1.15798685439957e-119	1.73443271051967e-115	118.9362964	114.7608425
	"target after filtering, All Targets"	Gm4473	-4.09387834	1.56743578416128e-119	2.34770531751677e-115	118.8048102	114.6293564
	"target after filtering, All Targets"	Slc6a20b	3.343127356	1.576767747428e-119	2.36168273209766e-115	118.8022323	114.6267784
	"target after filtering, All Targets"	Meak7	-1.363243108	4.11536984075697e-119	6.16400094748578e-115	118.3855911	114.2101373
	"target after filtering, All Targets"	Cd8a	-8.532666817	4.61438654726868e-119	6.91142817049903e-115	118.335886	114.1604322
	"target after filtering, All Targets"	Pglyrp2	-7.645845334	9.43538635852437e-119	1.41323216877978e-114	118.0252403	113.8497865
	"target after filtering, All Targets"	Plxnb1	-0.974791457	1.07194104949475e-118	1.60555330393324e-114	117.9698291	113.7943753
