"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Exoc1",5.88008498827196e-05,-1.33841311990702,0.261,0.223,0.880719129543374
"Cacnb1",9.737570858687e-58,1.33837389836787,0.416,0.102,1.45849336321414e-53
"Gpr180",5.53360052544404e-08,1.33753940407681,0.128,0.081,0.000828822686701009
"Edc4",4.44518024960261e-46,-1.33707342606746,0.502,0.217,6.65799097785478e-42
"Stx2",5.55807452695049e-14,-1.33694542081886,0.279,0.441,8.32488402646645e-10
"Smim19",3.40015120264077e-46,-1.33687544134615,0.137,0.351,5.09274647131534e-42
"Gm128",6.36335320114245e-131,1.33642713962067,0.304,0.026,9.53103042467116e-127
"Rasgrf2",2.57562385103835e-20,-1.33639894082573,0.053,0.206,3.85776940408524e-16
"Dnajc1",1.49492709002575e-22,1.33618555397688,0.234,0.141,2.23910179544057e-18
"Gm11808",4.54683417269372e-135,-1.33565657411357,0.028,0.401,6.81024822386065e-131
"1700008O03Rik",4.82486727913092e-32,-1.33555858920054,0.048,0.192,7.22668621068228e-28
"Nfatc1",2.58186282660237e-33,-1.33527090465112,0.117,0.395,3.86711414168503e-29
"Gpr157",0.000289730773917281,-1.33491391673678,0.333,0.374,1
"Gm17259",6.84019962703746e-30,-1.3348296340318,0.094,0.334,1.02452510013767e-25
"Rad50",0.30912504457149,-1.3337861435006,0.22,0.252,1
"Nup54",0.224431607814697,1.33346814662837,0.154,0.205,1
"Hivep3",4.80840527563153e-46,-1.332891623768,0.336,0.132,7.20202942184091e-42
"Gm47920",4.45053110673191e-22,-1.33271551760038,0.341,0.186,6.66600549166306e-18
"Stim2",2.16816440727686e-64,-1.33212241641867,0.078,0.381,3.24747664921927e-60
"Ccdc112",8.76148341421495e-43,1.33149558565851,0.231,0.11,1.31229498578111e-38
"Arhgef7",7.42434506855091e-19,1.33036820631364,0.22,0.143,1.11201840436756e-14
"Tstd3",5.33691556701933e-46,-1.33033636313807,0.064,0.271,7.99363213628155e-42
"Lrrc47",0.0396071487535187,-1.33030035552015,0.243,0.298,1
"Csad",4.45187686421265e-06,1.32996033509834,0.165,0.152,0.0666802116721771
"Nob1",4.33767899339946e-35,1.32959494567462,0.344,0.147,6.49697559631372e-31
"Fam227a",9.43897038283373e-82,1.32954288955586,0.251,0.04,1.41376898394084e-77
"Nmrk1",5.40159857266543e-46,1.32934241813851,0.355,0.137,8.09051434213829e-42
"Pdcd1lg2",0.542406217976125,-1.32909088075278,0.079,0.127,1
"Tmem64",1.21344026710904e-14,-1.32899614844981,0.308,0.179,1.81749083207592e-10
"Adnp2",5.77372131379873e-19,1.32889703611788,0.191,0.084,8.64787978380774e-15
"Mtch1",0.557277535172849,-1.32762423119261,0.146,0.219,1
"Zfp275",1.62215640305889e-14,1.32761855190661,0.202,0.103,2.4296658605016e-10
"2610507I01Rik",1.21656942827153e-15,-1.32671567844906,0.279,0.168,1.8221776896651e-11
"Ctcf",0.0234472948445293,1.32666623595863,0.227,0.298,1
"Glt8d1",5.02651414112932e-26,-1.32550102049276,0.274,0.121,7.5287128805835e-22
"Zfp346",1.50608969171931e-28,-1.32546737135448,0.351,0.174,2.25582114025719e-24
"Mterf1a",2.73945250547036e-35,1.32535972255846,0.337,0.104,4.10315196269351e-31
"Psme4",4.04245130312707e-35,1.32527698858181,0.363,0.233,6.05478356182373e-31
"Thap2",9.32712385368869e-08,1.32523580305623,0.297,0.228,0.00139701661080549
"Usp37",0.0993525779914825,-1.32490369205169,0.287,0.289,1
"Wdr55",9.15775941071289e-13,-1.3244343125449,0.254,0.159,1.37164920453658e-08
"Ube2q1",3.47262732793553e-110,-1.32398811789963,0.101,0.523,5.20130121178184e-106
"Spns1",0.498369765563761,-1.32381632096801,0.184,0.192,1
"A930012L18Rik",6.16823797844992e-147,1.32361945910825,0.562,0.106,9.23878684412229e-143
"Tamm41",1.35875104957157e-09,-1.32334656481864,0.239,0.366,2.0351373220483e-05
"Lyar",2.56302691625914e-19,-1.32333448748103,0.061,0.23,3.83890171517293e-15
"Avl9",0.703656804216492,1.32313253415698,0.245,0.269,1
"Tsc22d4",2.31813973636697e-16,1.32303141869743,0.247,0.516,3.47210969713045e-12
"Gm17354",8.70495496652531e-116,1.32272791172022,0.521,0.156,1.30382815488616e-111
"Gm43560",1.67764417840245e-19,-1.32239581693222,0.457,0.289,2.51277545041119e-15
"Pom121",0.0482929359568191,1.32224853001569,0.324,0.304,1
"Thrap3",0.323317453677302,-1.32215315081781,0.249,0.358,1
"Ccdc43",0.139876998611833,1.32189125894627,0.135,0.182,1
"Ccdc57",7.87951814168783e-17,1.32177146667793,0.255,0.19,1.180194227262e-12
"Sf3b2",1.37361761782403e-05,1.32174497097398,0.217,0.393,0.205740446797683
"Xylt1",1.10457781926873e-09,-1.32139982291479,0.334,0.27,1.6544366577007e-05
"Rangap1",1.19125273979022e-57,1.32119551436638,0.098,0.389,1.78425835365779e-53
"Uqcrc2",0.0357542062703578,-1.3204851666525,0.147,0.268,1
"Nudc",8.09724742638882e-08,-1.32036252672767,0.147,0.275,0.00121280571952452
"Lrrc42",0.237136371979832,1.32006227758885,0.14,0.192,1
"Ibtk",3.47536188835077e-07,1.32003673110475,0.261,0.363,0.00520539703637179
"P4hb",0.000307440274855074,-1.3198283599768,0.25,0.288,1
"Slf1",2.24418035669995e-28,1.31923026200488,0.334,0.141,3.36133333826519e-24
"BC003965",1.63686057032804e-26,1.31841500997815,0.132,0.268,2.45168976223734e-22
"C430014B12Rik",4.01990609910126e-38,1.31819651314641,0.185,0.076,6.02101535523387e-34
"Ciao2b",0.0024264546880722,1.31765354610466,0.126,0.162,1
"Tsfm",1.00963111926668e-19,1.31744397130356,0.131,0.232,1.51222549043763e-15
"Mettl22",1.31039797179415e-32,-1.31738068976104,0.054,0.191,1.96271408215327e-28
"Gmpr2",0.0164486615737691,-1.31693633994404,0.224,0.239,1
"Gm26982",4.24851454551601e-06,-1.31668965148113,0.114,0.254,0.0636342508627388
"Nemf",2.30395460974269e-06,1.31663766337485,0.284,0.233,0.034508632144726
"Pcyox1",0.0518001392970643,-1.31599914493084,0.101,0.19,1
"Cog5",0.00045813671829129,1.31585798928535,0.359,0.285,1
"Gmeb2",0.257953320469742,-1.31582053096673,0.203,0.244,1
"Ppp1r9a",8.58130599822178e-08,1.31515874259674,0.48,0.327,0.00128530801241366
"Xrcc4",2.00917201138702e-09,-1.31481514498993,0.162,0.088,3.00933783865547e-05
"Zfp781",0.000354362202921607,1.31479889966716,0.114,0.073,1
"2810013P06Rik",9.61072574989712e-13,-1.3145261336371,0.305,0.399,1.43949450281959e-08
"Smc3",0.111005149158263,-1.31406529626964,0.184,0.264,1
"Arhgap23",1.19725607067895e-20,1.31405629524549,0.263,0.129,1.79325014266293e-16
"Lmo4",0.362172890866648,-1.31401621145119,0.239,0.295,1
"Gtf2h1",0.0190723967949485,1.3131211234975,0.246,0.24,1
"Acbd6",0.000399874429936845,1.31210671247345,0.099,0.175,1
"Irak2",6.48801937892947e-14,1.31210111155246,0.258,0.347,9.71775542576057e-10
"Sike1",0.00108900437514542,1.31192134219518,0.281,0.265,1
"Pskh1",0.000268142732704824,1.31169928424027,0.192,0.281,1
"Alg10b",2.9319076076404e-12,1.31128484178059,0.356,0.188,4.3914112147238e-08
"Zfc3h1",7.7778538484052e-07,1.31114225322862,0.331,0.451,0.0116496694941413
"Med20",0.0115325588985046,1.31097044025384,0.433,0.324,1
"Txnrd3",2.89470085383398e-24,1.31034785567976,0.13,0.029,4.33568293887254e-20
"Xylt2",0.0133781663691548,-1.30968321415696,0.215,0.226,1
"Gm13483",5.81367917950145e-43,1.30901586078812,0.368,0.137,8.70772867505728e-39
"Rspry1",1.99712199037288e-06,1.30805836379747,0.333,0.416,0.029912893171805
"Med29",0.00269779514165224,1.30788782725202,0.078,0.146,1
"Ddx5",4.12070061254894e-19,1.30747534312376,0.7,0.579,6.1719853774758e-15
"H13",3.05540619681528e-08,-1.30738505881268,0.231,0.355,0.000457638740158992
"Trmt1l",0.0935049429769162,1.3071182232974,0.468,0.38,1
"Ilrun",8.49450275798673e-15,-1.30690090742803,0.18,0.386,1.27230662309125e-10
"Slc8a1",2.65143706194629e-36,1.30668970708183,0.303,0.183,3.97132243138315e-32
"Gm15972",0.0068812211509563,-1.30618956744908,0.144,0.207,1
"Pcdhgb6",7.56752151148197e-27,1.30507396525999,0.199,0.083,1.13346337198977e-22
"Cry1",0.0138350212257348,1.30504084033167,0.123,0.143,1
"Exoc3",0.0508347076030113,1.30499663611149,0.225,0.253,1
"Acap2",7.11032802110903e-50,-1.30472644958157,0.165,0.492,1.06498493100171e-45
"Tor4a",3.05065123659362e-52,1.30461197101483,0.16,0.428,4.56926542216992e-48
"Clmn",1.13916711594743e-80,-1.30425485934812,0.199,0.016,1.70624450626605e-76
"Parl",1.20079948674234e-05,1.30423404804528,0.133,0.259,0.179855747124268
"Fam32a",1.80281666520025e-16,-1.30415540206707,0.115,0.323,2.70025880113693e-12
"Fam199x",3.20155295945959e-54,1.30389303329594,0.371,0.171,4.79528602267857e-50
"Adcy7",4.59905166096042e-14,-1.30385070421378,0.348,0.552,6.88845957778651e-10
"Wdyhv1",1.26151738050184e-117,1.30375265916371,0.082,0.452,1.88950073251565e-113
"Dpy19l1",4.98259890770677e-37,-1.30345905157165,0.21,0.483,7.46293664396319e-33
"Rap2b",2.61686451274881e-73,-1.3031499878611,0.092,0.469,3.91953966719517e-69
"S100a13",1.93702436590167e-26,-1.30314233239588,0.128,0.36,2.90127509524752e-22
"Zscan20",3.6523148139771e-10,1.30283673928309,0.215,0.141,5.47043712837491e-06
"Dcbld1",8.89672596355573e-12,1.30267335921334,0.146,0.227,1.33255161482138e-07
"Tmem19",0.583070969069094,-1.30261900898991,0.297,0.32,1
"Gm49747",0.561667898061645,-1.30200003437978,0.202,0.21,1
"Lyrm2",3.84080893809072e-08,1.30163883582053,0.123,0.202,0.000575276362747229
"Gm14634",4.47150610154592e-210,1.30154109873297,0.485,0.052,6.69742183889547e-206
"Avil",9.79553852384632e-161,1.3011825738349,0.594,0.113,1.4671757601017e-156
"Top3a",2.67559239677576e-22,-1.30112069805547,0.377,0.199,4.00750229189073e-18
"Ccdc25",5.77581160491758e-06,1.30094773608607,0.088,0.179,0.0865101062184555
"Gm8797",3.04096892046687e-28,-1.30077664476999,0.081,0.278,4.55476324907527e-24
"Kcnq3",1.72718363923423e-132,-1.30034398805822,0.328,0.017,2.58697565484503e-128
"Pxmp4",0.993076469779839,1.299741495055,0.121,0.149,1
"Sfxn2",2.40120625198871e-20,-1.29820718645165,0.412,0.297,3.59652672422868e-16
"E130310I04Rik",2.38987964062198e-18,1.29777779678264,0.137,0.051,3.57956172572361e-14
"Ddx51",2.38525007564014e-61,1.29703905005006,0.11,0.349,3.5726275632938e-57
"Zfp513",0.00241394872331795,1.29690527971769,0.345,0.261,1
"Jag1",8.22134936328783e-08,1.29655102044299,0.272,0.196,0.00123139370763325
"Kdm3b",6.7115321640611e-24,1.29608743618499,0.483,0.315,1.00525328753307e-19
"Ywhab",0.0104970270164071,-1.29568428541234,0.22,0.366,1
"Dhx29",0.00675802054688802,1.29503927667471,0.113,0.163,1
"Best1",1.57874658195296e-24,-1.29439884833878,0.299,0.122,2.36464663044914e-20
"Gm9968",2.07642623023721e-60,1.29353567627589,0.362,0.104,3.1100712076493e-56
"Tnpo1",0.000112863704810142,1.29348048455718,0.293,0.407,1
"Ctnna1",7.42489664893055e-10,1.29247423340274,0.26,0.241,1.11210102007682e-05
"Tmem94",0.563491296524841,-1.29222513283507,0.137,0.163,1
"Acads",1.68710692494329e-12,-1.29221799112934,0.078,0.193,2.52694875218007e-08
"Tcf7l2",5.35346146363587e-36,1.2921830788947,0.303,0.128,8.0184145802338e-32
"Cd46",2.03549831881272e-75,1.29182210970654,0.502,0.183,3.04876938191769e-71
"Eml2",2.37255074144346e-20,1.29172278092155,0.144,0.074,3.55360650053401e-16
"Gpbp1l1",9.87364107885389e-05,-1.29164364738651,0.373,0.295,1
"Dnajb12",3.03656950881792e-10,1.29105108194088,0.104,0.213,4.54817381030749e-06
"Slc39a2",5.17602812178113e-11,1.29063722945697,0.222,0.118,7.75265492080378e-07
"Rtkn",1.37457153670183e-12,-1.29053227141931,0.258,0.146,2.05883324767201e-08
"1810055G02Rik",5.86420798212329e-20,1.28953664885227,0.181,0.072,8.78341071562426e-16
"Smarcc2",2.7763720287557e-32,-1.28879689577083,0.153,0.405,4.15845002467029e-28
"Mrm2",4.22917956607925e-05,1.2881829935912,0.28,0.23,0.63344651540735
"Smarca4",2.50376190379344e-07,1.288041847819,0.208,0.384,0.00375013457950181
"Nxt1",5.4125346867549e-14,1.28789077162901,0.066,0.193,8.10689445382148e-10
"Slc2a1",6.80388234678372e-23,-1.28738602226635,0.22,0.101,1.01908549790127e-18
"Xist",3.94609420560164e-26,-1.28724891896416,0.734,0.609,5.91045990115014e-22
"Csnk1g1",0.000805549384154874,1.28665922841607,0.323,0.251,1
"Plekho1",5.47668351706193e-48,-1.28604857435435,0.234,0.593,8.20297657185536e-44
"Gm16759",9.07837655511519e-83,1.2859615916401,0.357,0.116,1.35975924042515e-78
"Nek8",5.74389445442706e-15,1.28581886833065,0.392,0.33,8.60320511384084e-11
"Chd8",8.10522340158791e-05,1.2856896888626,0.265,0.279,1
"Ptger1",5.16919793638674e-18,1.28558356730037,0.459,0.226,7.74242466912005e-14
"Pcgf6",0.00214587317807856,-1.28532096460504,0.331,0.352,1
"Pou2f1",7.95336424096127e-21,1.28496853650486,0.35,0.193,1.19125489601118e-16
"Exoc5",9.05802823545034e-12,-1.28294130858016,0.318,0.272,1.35671146910575e-07
"Cplx2",1.23478467564416e-51,-1.28282824223922,0.188,0.016,1.84946048717983e-47
"Svip",0.0143362762764501,-1.28256065452681,0.173,0.176,1
"Rbm45",9.43874463526154e-73,-1.28222940837642,0.291,0.103,1.41373517146947e-68
"Nprl3",2.94595921391795e-06,1.28186562894018,0.304,0.212,0.044124577106063
"Klhdc4",5.3582471738288e-07,-1.28086677201006,0.259,0.344,0.00802558261696078
"Gm17300",7.54355964169308e-21,1.28077625513146,0.12,0.297,1.12987436313279e-16
"Trip12",0.640567779288144,1.28008953410291,0.286,0.398,1
"Lyrm1",0.198842479758292,-1.28003131811828,0.186,0.198,1
"Gm20721",0.650863339167548,1.27926028666036,0.1,0.161,1
"Abraxas1",1.60199372640664e-06,-1.27899240285657,0.203,0.344,0.0239946620341187
"Chst14",2.71937115037701e-06,-1.27892682190056,0.185,0.118,0.0407307410903468
"Trim27",0.144683867165716,1.27888705342916,0.361,0.329,1
"Ahcy",0.000188356912580308,-1.27887132389856,0.131,0.199,1
"Tmf1",0.0625428220442357,1.2783552130883,0.138,0.206,1
"Snx19",9.56996896166316e-19,1.27769422008026,0.212,0.098,1.43338995107791e-14
"Mgat4b",0.000598481357258488,1.27748515472736,0.177,0.271,1
"Polr2k",2.4460856192724e-24,1.27702970886685,0.114,0.292,3.66374704054621e-20
"Ino80c",0.0103920929101012,-1.27535774603862,0.135,0.178,1
"Gtf2f1",1.99332832358098e-24,-1.27526868039583,0.073,0.226,2.98560716305959e-20
"Wdr59",4.80455296983505e-45,1.27500551414959,0.545,0.238,7.19625943821894e-41
"Slc4a1ap",9.32358745402231e-47,-1.27469106904581,0.417,0.183,1.39648692886346e-42
"Ubqln4",0.816241758939718,-1.27433920320693,0.289,0.251,1
"Rbak",4.3162955762066e-32,1.27406071001116,0.124,0.281,6.46494751404224e-28
"9530018F02Rik",4.04266023894451e-11,-1.27376632696049,0.359,0.208,6.05509650589109e-07
"H1f0",0.030380037493932,-1.27308557104291,0.159,0.24,1
"Patl1",0.00363735581175149,-1.27186471386615,0.17,0.272,1
"Zfp518a",6.65244932258101e-08,1.27174191899727,0.146,0.287,0.000996403859536183
"Cap1",1.17625769736447e-06,-1.27138973401946,0.192,0.396,0.017617987791125
"Trim62",2.32088866578302e-45,-1.27053063066441,0.098,0.38,3.47622704360981e-41
"Bzw2",0.0169135515688103,-1.27034090185972,0.197,0.181,1
"Cyp2e1",0.000890401191436656,-1.27004201728551,0.084,0.17,1
"Stard6",1.54542993749512e-13,1.26889958384318,0.257,0.163,2.31474496038019e-09
"Mkln1os",3.21572964949865e-63,1.26884564302563,0.172,0.008,4.81651986901908e-59
"Tm9sf2",1.686024774015e-06,1.26878109743852,0.266,0.28,0.0252532790651967
"Alg1",0.000161301858264225,1.26860176080828,0.25,0.191,1
"Ppp2r3d",0.00346436899474182,1.26820682074767,0.345,0.24,1
"Mtrex",9.86473173340407e-17,1.26751449312133,0.304,0.184,1.47753951902926e-12
"Kdm3a",1.06513213983964e-66,1.26684982178829,0.528,0.271,1.59535491905181e-62
"Paxip1",0.0407182945433078,1.26603621191209,0.232,0.215,1
"Zfp719",1.42441061333715e-56,-1.26575650968029,0.382,0.1,2.13348221665638e-52
"Ip6k1",0.000351690901396581,1.26537905121196,0.215,0.324,1
"Gnptg",0.00488098800306949,1.26523477133377,0.13,0.17,1
"Bscl2",4.44794083461416e-14,-1.26520404945416,0.123,0.316,6.66212578208508e-10
"Uqcc3",2.21961131816743e-11,-1.26494590264525,0.095,0.251,3.32453383235118e-07
"Tpgs1",2.25084400307317e-31,-1.26488093197101,0.065,0.254,3.37131414780299e-27
"Dop1a",4.95272315128526e-20,-1.2648218599134,0.404,0.266,7.41818873599506e-16
"Mgmt",1.89129246609499e-23,-1.26467948338795,0.056,0.188,2.83277785571708e-19
"Eif2s1",6.49415642849077e-11,-1.26444769059384,0.091,0.271,9.72694749859348e-07
"Rbmxl1",2.07893307059126e-31,-1.26436005348719,0.08,0.307,3.11382595313159e-27
"Hpf1",3.90944570809128e-14,-1.26402605695953,0.127,0.301,5.85556778157912e-10
"Nol6",1.87729164265602e-09,1.26343292625757,0.291,0.224,2.81180742237019e-05
"Klhl20",2.16679807324484e-22,1.26274723328096,0.278,0.137,3.24543015410613e-18
"Brd1",0.0619580752001588,1.26271686578731,0.319,0.328,1
"Zfp748",8.88024359426855e-27,1.26228115729137,0.497,0.218,1.33008288554954e-22
"Dimt1",9.37190174852822e-06,1.26200359307325,0.277,0.187,0.140372344389456
"Gemin8",2.18043740620654e-58,-1.26190728324096,0.282,0.126,3.26585914701615e-54
"Zfp654",1.15241859878685e-26,1.2614368324098,0.094,0.266,1.72609257726295e-22
"Gm49492",2.70558818417293e-06,-1.26139899806487,0.123,0.099,0.0405242998225421
"Irak3",6.23706440115802e-115,-1.26128772425165,0.015,0.352,9.34187506005448e-111
"Enkd1",1.38174985889351e-160,1.26108537446367,0.586,0.089,2.06958493865069e-156
"Spcs3",1.40456742249123e-14,1.26102988430907,0.229,0.41,2.10376108540737e-10
"Sept8",0.152158234663067,1.26046173779689,0.201,0.266,1
"Cnrip1",3.27304791663141e-05,1.25949026454596,0.242,0.326,0.490237116953053
