"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd209d",4.40823183272162e-304,-22.9387947736623,0.041,0.673,6.60264963905045e-300
"Ptpn18",0,-22.7622181085745,0.016,0.832,0
"Eps8",0,-22.7248281002035,0.007,0.822,0
"Ctss",0,-22.4408034542329,0.008,0.862,0
"Klra2",4.2648453843122e-94,-22.2097715330655,0.004,0.265,6.38788541662282e-90
"Pld4",0,-22.0364210242935,0.004,0.859,0
"Clec4a1",0,-21.4840195257032,0.037,0.749,0
"Pla2g2d",1.23119173163596e-233,-21.4466797819733,0.034,0.524,1.84407897564435e-229
"Bcl2a1b",0,-21.4451905809663,0.012,0.653,0
"Csf1r",0,-21.4107875312804,0.011,0.866,0
"Fcgr3",0,-21.3693912181622,0.011,0.899,0
"Adgre1",0,-21.3572302291148,0.004,0.816,0
"Mgl2",0,-21.3320554347738,0.014,0.846,0
"Ms4a7",0,-21.2346257341402,0.006,0.599,0
"Cotl1",0,-21.2307713110776,0.012,0.871,0
"Cyth4",0,-21.0193789977875,0.051,0.861,0
"Slc9a9",1.06675393909564e-303,-20.837892673393,0.059,0.706,1.59778404997745e-299
"Mmp9",0,-20.735363869736,0.014,0.653,0
"Cd209g",1.33104389231408e-127,-20.6342842526586,0.074,0.425,1.99363754190803e-123
"Fxyd2",0,-20.6264681242537,0.029,0.71,0
"Aif1",0,-20.5812594275083,0.005,0.756,0
"Mpeg1",1.59688774554436e-303,-20.5191407567786,0.022,0.654,2.39181846527634e-299
"Cd209a",8.26601696339609e-245,-20.4029896599594,0.037,0.602,1.23808402077747e-240
"Fcgr1",0,-20.3668009924983,0,0.67,0
"Cd209f",2.83490361684431e-131,-20.2255786620197,0.111,0.476,4.24611863730941e-127
"Fcna",2.25422513164218e-147,-20.220908366231,0.158,0.59,3.37637840217365e-143
"Pltp",0,-20.1963445736441,0.02,0.734,0
"Fxyd5",5.87146919420637e-273,-20.1560812132583,0.06,0.724,8.79428655908231e-269
"Trem2",0,-20.1245495604563,0.002,0.728,0
"Ednrb",1.40806670694928e-210,-20.0528045249931,0.008,0.51,2.10900231366862e-206
"Clec12a",0,-19.8889270096001,0.014,0.656,0
"Itgb2",0,-19.8421148295492,0.017,0.75,0
"Tifab",1.09608565370481e-201,-19.76194195732,0.004,0.468,1.64171709211906e-197
"Ctsb",4.43119899951905e-136,-19.7276422547708,0.25,0.672,6.63704986147964e-132
"H2-DMa",0,-19.665914681656,0.017,0.811,0
"Cd300ld",0,-19.6607124816236,0.059,0.806,0
"Clec10a",0,-19.6592072211868,0.016,0.736,0
"Ifitm6",3.45845952088873e-323,-19.6255031092646,0.043,0.702,5.18008067038713e-319
"Mrc1",0,-19.5776637298706,0.01,0.823,0
"Capg",1.14558330854128e-315,-19.5627225934626,0.028,0.729,1.71585467953314e-311
"Gpr35",1.7344953225887e-129,-19.4246673383262,0.041,0.414,2.59792709417336e-125
"Ear2",1.75621739915767e-213,-19.38290471325,0.02,0.465,2.63046242045836e-209
"AI467606",0,-19.3662238798292,0.025,0.749,0
"Alox5ap",0,-19.245195192715,0.011,0.874,0
"Ninj1",1.22052585465296e-123,-19.2105202775173,0.064,0.509,1.82810362509921e-119
"Basp1",1.91031052243907e-161,-19.1842179842943,0.017,0.42,2.86126310050923e-157
"Rab7b",8.89318162514244e-323,-19.093868029095,0.022,0.701,1.33202074381383e-318
"Lilrb4a",0,-19.0469000281827,0.03,0.728,0
"Pira2",1.16781102907079e-154,-19.0301792888718,0.085,0.576,1.74914735934223e-150
"Iqgap2",2.62046465268347e-307,-19.0051624927268,0.055,0.755,3.9249319567893e-303
"Ltb4r1",2.65452571708918e-161,-18.9987055377189,0.003,0.365,3.97594861905617e-157
"Sema4a",0,-18.9461122167546,0.015,0.701,0
"Ccl24",0,-18.8941062943318,0.031,0.743,0
"Cysltr1",6.58894428401025e-316,-18.8891627663475,0.048,0.742,9.86892074859056e-312
"Ucp2",0,-18.8857626595265,0.025,0.851,0
"Trf",0,-18.8662451772159,0.037,0.891,0
"Bcl2a1a",1.21496273914816e-237,-18.8580662980095,0.005,0.507,1.81977119069611e-233
"Rnasel",1.43878054170629e-229,-18.7944636250923,0.087,0.66,2.15500549536768e-225
"Mafb",0,-18.7287266846905,0.024,0.814,0
"Cd163",0,-18.716506118358,0.041,0.711,0
"Tmem37",0,-18.679296616473,0.015,0.77,0
"C1qb",0,-18.6719388029891,0.053,0.869,0
"F13a1",0,-18.6301024318723,0.05,0.804,0
"Clec4a2",1.30052889275668e-300,-18.6276107715147,0.028,0.681,1.94793217557095e-296
"Tyrobp",0,-18.6203261351871,0.028,0.9,0
"Psme1",2.69763296774305e-92,-18.6052658451849,0.084,0.509,4.04051465908554e-88
"Batf3",0,-18.583588549286,0.004,0.703,0
"Pirb",0,-18.5502200997183,0.037,0.831,0
"Fcgrt",2.64967208257079e-106,-18.5483727597811,0.108,0.525,3.96867884527453e-102
"Slc7a11",1.01098159395036e-79,-18.5233488037119,0.078,0.378,1.51424823141884e-75
"Abca9",0,-18.5142610062535,0.027,0.798,0
"Hopx",1.1783791367086e-175,-18.5111221652952,0.007,0.455,1.76497627096214e-171
"Cd33",0,-18.4922723578527,0.014,0.688,0
"Clec4b1",1.00215635541438e-279,-18.3969566803432,0.061,0.662,1.50102978913965e-275
"Bcl2a1d",7.74737671830981e-216,-18.3666347543789,0.006,0.449,1.16040208486844e-211
"Lrrc25",0,-18.3426135902735,0.002,0.64,0
"Ms4a8a",5.94958861910378e-294,-18.3200611131995,0.002,0.599,8.91129383369364e-290
"Gm36161",0,-18.3180220167133,0.001,0.587,0
"Nfam1",0,-18.2433351948949,0.052,0.8,0
"Fcrls",0,-18.2350548344952,0.014,0.833,0
"Cd300a",1.17015365572138e-282,-18.2320590953878,0.005,0.615,1.75265614553948e-278
"Slamf7",1.69270968380119e-107,-18.1840627778533,0.069,0.443,2.53534056439742e-103
"Slfn2",9.22835575928114e-319,-18.1708274784028,0.018,0.698,1.38222312562513e-314
"Il1b",3.16954691378374e-154,-18.0213294629182,0.076,0.455,4.74734736746529e-150
"Dok2",0,-18.0184898811959,0.022,0.776,0
"Ms4a6d",0,-17.9978626227012,0.012,0.695,0
"Lair1",2.52912204106134e-320,-17.9404323641902,0.008,0.591,3.78811899310168e-316
"Arhgdib",0,-17.9297322557602,0.02,0.852,0
"Tnip3",3.33708386758206e-98,-17.9291510482578,0.023,0.341,4.99828421686442e-94
"Marcksl1",0,-17.9131277561888,0.034,0.744,0
"Psme2",7.28530218565861e-92,-17.8913288763821,0.059,0.45,1.09119256136795e-87
"4930455G09Rik",9.30280680006661e-226,-17.7932887905186,0.005,0.485,1.39337440251398e-221
"Rassf4",0,-17.7608421630641,0.055,0.853,0
"Csf2ra",0,-17.7142151048783,0.052,0.867,0
"Pilra",5.64053776598492e-200,-17.7066531191265,0.043,0.567,8.44839746589221e-196
"Jaml",8.74212820089003e-248,-17.7065500948498,0.009,0.551,1.30939596192931e-243
"Il1rn",6.90779444344706e-86,-17.6931333630677,0.103,0.435,1.0346494517395e-81
"Evi2a",1.57906034943661e-284,-17.687633196207,0.026,0.679,2.36511659138616e-280
"Ltc4s",1.40131954648141e-250,-17.6726311506247,0.023,0.612,2.09889641671986e-246
"Lyve1",8.24785119163414e-277,-17.6499131404446,0.057,0.664,1.23536315148296e-272
"Cd300c2",0,-17.637507374564,0.004,0.669,0
"Siglech",5.78500728970096e-233,-17.6121333338838,0.002,0.485,8.6647839185141e-229
"Samsn1",9.52557536741384e-219,-17.5368232482212,0.009,0.488,1.42674067853125e-214
"Tnni2",9.73147535629327e-82,-17.5163811493919,0.025,0.321,1.45758037886561e-77
"Srgn",2.81065161623442e-275,-17.49800674417,0.032,0.676,4.20979399079592e-271
"Gmfg",0,-17.3774360455038,0.011,0.841,0
"C5ar1",1.32251734731771e-297,-17.2725845000347,0.036,0.658,1.98086648281247e-293
"Kctd12",0,-17.2340627192395,0.015,0.782,0
"Cd53",0,-17.2294155982067,0.011,0.771,0
"Clec4e",3.55378144156946e-24,-17.1525354153113,0.193,0.257,5.32285384318273e-20
"Tlr7",3.52904365197744e-173,-17.1339552804629,0.044,0.523,5.2858015819318e-169
"Rbm47",2.09781074411407e-194,-17.085315692006,0.018,0.486,3.14210093253405e-190
"Cfp",0,-17.078465805893,0.036,0.837,0
"Folr2",0,-17.0776926675931,0.03,0.683,0
"Rsad2",2.05610551322911e-103,-17.072739887327,0.004,0.31,3.07963483771456e-99
"Adam8",9.78050668581739e-121,-17.0481315195348,0.091,0.459,1.46492429140173e-116
"Susd3",0,-17.0371572574939,0.022,0.691,0
"Sdc3",1.36842585225432e-278,-16.9991353828332,0.027,0.671,2.04962824150652e-274
"Vsir",0,-16.9829762492764,0.008,0.797,0
"Ccl9",0,-16.9607014139318,0.049,0.853,0
"Irf5",0,-16.9482806231746,0.036,0.773,0
"Grb14",9.74508511034183e-38,16.9166744749256,0.211,0.064,1.459618847827e-33
"Mmp19",1.04695719764008e-158,-16.8900939736898,0.092,0.543,1.56813249062531e-154
"Esco2",1.09567152287956e-51,-16.8286547335823,0.021,0.234,1.64109680696901e-47
"Wfdc17",0,-16.788999052231,0.03,0.818,0
"Ccl3",3.48783203678335e-28,-16.7846737249708,0.282,0.385,5.2240748246941e-24
"Nostrin",4.92505707176599e-89,-16.7779020046218,0.031,0.293,7.3767504820911e-85
"AI662270",8.89318162514244e-323,-16.7389388905251,0.031,0.71,1.33202074381383e-318
"Dpep2",6.07574583834108e-238,-16.7045807513077,0.046,0.565,9.10025211666727e-234
"Ptpn6",0,-16.6890128966976,0.009,0.795,0
"Cd24a",9.30442194427682e-91,-16.6591139291582,0.01,0.277,1.39361631881378e-86
"Slc9a4",2.04400534345699e-161,-16.6553172120994,0.013,0.432,3.06151120342988e-157
"Cd300lb",9.02683875542182e-265,-16.6462950990454,0.048,0.622,1.35203990878708e-260
"Ncf1",0,-16.6344277944553,0.009,0.705,0
"Epsti1",0,-16.6340283837326,0.01,0.679,0
"Cd86",3.71375712248352e-246,-16.5906548060516,0.009,0.572,5.56246541805582e-242
"C1qa",0,-16.5873806285202,0.033,0.843,0
"Lacc1",1.44688807035595e-188,-16.5795175582383,0.153,0.63,2.16714895177915e-184
"H2afz",3.51207450079363e-167,-16.5395360899482,0.178,0.717,5.2603851872887e-163
"Cd209b",2.79657888065077e-208,-16.5333570448027,0.025,0.516,4.18871584743872e-204
"Ms4a6c",0,-16.5270295028936,0.021,0.762,0
"Slc43a2",0,-16.4927280059939,0.032,0.806,0
"Gm34084",1.84564704026264e-298,-16.4774007454861,0.004,0.558,2.76441013690538e-294
"Itgb7",8.57114579607167e-143,-16.4706091444811,0.008,0.367,1.28378621733562e-138
"Shtn1",2.33556547434355e-291,-16.4522713331878,0.005,0.609,3.49820996747176e-287
"Tslp",4.87444511772898e-125,-16.4011553394743,0.052,0.424,7.30094389733447e-121
"Atp1a3",3.21436606720794e-227,-16.3882550502387,0.01,0.531,4.81447749546405e-223
"Cxcl10",4.26183844721305e-154,-16.3164081384204,0.061,0.532,6.38338162623571e-150
"Lif",5.16485429258036e-20,-16.3091638827619,0.071,0.173,7.73591875942686e-16
"Trpv4",6.79393188731433e-75,-16.2928779211918,0.039,0.309,1.01759511808194e-70
"Nxpe5",0,-16.2919960055375,0.001,0.629,0
"Apoc2",4.8646277151659e-25,-16.2620638891122,0.14,0.34,7.28623939177549e-21
"Kcnn4",9.70890194608068e-132,-16.2506796675817,0.013,0.366,1.45419933348396e-127
"Nckap1l",1.60402011841951e-286,-16.2213318158153,0.036,0.695,2.40250133336874e-282
"Naaa",2.27047368835334e-274,-16.2025911383063,0.052,0.725,3.40071549041564e-270
"Hcst",1.45233127420614e-311,-16.1918406526506,0.015,0.659,2.17530178250595e-307
"Nlrp3",2.06618530806473e-285,-16.1851474123613,0.013,0.549,3.09473235441936e-281
"Psmb9",5.84897982522667e-289,-16.1813676575443,0.014,0.651,8.7606019822245e-285
"Ncf4",1.6774955441383e-261,-16.1435933967127,0.025,0.622,2.51255282601034e-257
"Tgfbi",0,-16.1264566368591,0.028,0.847,0
"Gpsm3",6.00081893671382e-186,-16.1011856123299,0.041,0.556,8.98802660340996e-182
"Ccl4",1.16669309359825e-80,-16.0934098492883,0.142,0.409,1.74747291559146e-76
"Laptm5",0,-16.092109379698,0.023,0.918,0
"Nfkbia",7.79685710795043e-140,-16.0768851508979,0.117,0.599,1.16781325762882e-135
"Psap",2.8989181775928e-221,-16.074642500457,0.341,0.854,4.3419996463985e-217
"Rasgrp4",1.57386494096748e-266,-16.0693612792644,0.004,0.565,2.35733490858109e-262
"Havcr2",2.08140700203631e-175,-16.063715224603,0.007,0.407,3.11753140764999e-171
"Cd48",0,-16.0328147503517,0.016,0.78,0
"Hmmr",3.33385712900935e-73,-15.9768353646586,0.04,0.314,4.99345120783021e-69
"Areg",1.95596579313896e-08,-15.9666054490226,0.377,0.3,0.000292964556496354
"Cd2",2.52686268598891e-147,-15.9568874651697,0.044,0.506,3.78473493107419e-143
"Themis2",0,-15.9554361354306,0.026,0.718,0
"Cd52",0,-15.9358046318703,0.018,0.747,0
"Rac2",0,-15.9325037711629,0.013,0.697,0
"Gm36486",1.23177351855557e-199,-15.8986924356098,0.009,0.427,1.84495037609254e-195
"Ccl12",3.75950443460516e-56,-15.8915890884478,0.178,0.404,5.6309857421516e-52
"Rab11fip1",1.541178437526e-187,-15.8742316579265,0.005,0.436,2.30837706372644e-183
"Slfn5",2.62559302522738e-92,-15.8721008426565,0.021,0.35,3.93261323318557e-88
"Fgr",5.57435029220461e-63,-15.8713256139176,0.238,0.385,8.34926186766406e-59
"Ctsc",0,-15.8532437884857,0.09,0.894,0
"Oas1a",6.25976452489047e-210,-15.8179893031892,0.007,0.484,9.37587530538094e-206
"Mctp1",1.88931837272119e-286,-15.8162899392841,0.004,0.583,2.82982105866179e-282
"Gm2a",6.02192918622289e-145,-15.8136277066042,0.094,0.612,9.01964553512465e-141
"S100a8",6.41829341275979e-27,-15.7832159936032,0.757,0.495,9.61331987363162e-23
"Bst1",5.82581420570703e-213,-15.7783203982934,0.089,0.621,8.72590451730798e-209
"Tnf",8.33496984594184e-268,-15.7695962342856,0.014,0.544,1.24841178352517e-263
"AB124611",2.39847878866539e-266,-15.7662238732383,0.01,0.59,3.59244152966302e-262
"Msr1",0,-15.7631927679136,0.011,0.634,0
"P2ry12",3.04444524723003e-245,-15.7249953199891,0.013,0.561,4.55997009130114e-241
"Klrd1",3.46437738000068e-99,-15.7229686480756,0.012,0.27,5.18894443976502e-95
"Smagp",1.61133184551469e-250,-15.7188654506898,0.016,0.535,2.4134528382119e-246
"Kcnq1",6.89514230190073e-170,-15.7083039270841,0.007,0.381,1.03275441397869e-165
"March1",0,-15.6885950657694,0.004,0.654,0
"Adap2",1.10727100696537e-288,-15.6781871688841,0.077,0.72,1.65847051423273e-284
"Ramp3",1.82827439313539e-72,-15.6715380981465,0.015,0.235,2.73838938603819e-68
"Pxdn",8.37337022663858e-85,15.6705313448954,0.275,0.036,1.25416339254593e-80
"Col4a6",1.15823299360176e-193,15.6449309051187,0.567,0.044,1.73480137781672e-189
"Cxcl14",2.26108081600816e-87,-15.6338320382541,0.144,0.426,3.38664684621702e-83
"Metrnl",1.26149862710633e-242,-15.6325919229999,0.044,0.672,1.88947264367986e-238
"Ubash3b",2.88510925227808e-211,-15.6117004452669,0.04,0.582,4.32131663806211e-207
"Ccl7",3.4824212157012e-109,-15.5856964934569,0.062,0.455,5.21597049687726e-105
"BC035044",6.623190777101e-213,-15.5795563794407,0.003,0.474,9.92021514594188e-209
"AA467197",4.12290499486991e-67,-15.5736518430611,0.01,0.182,6.17528710131616e-63
"Pik3ap1",7.04671971506433e-220,-15.5545877850221,0.008,0.523,1.05545767892234e-215
"F10",2.03681324402659e-46,-15.5346562355889,0.298,0.476,3.05073887690303e-42
"Dscc1",1.99022186419411e-77,-15.5274371945255,0.045,0.351,2.98095430818994e-73
"Kcnab2",4.18499543856756e-237,-15.5027419965495,0.059,0.644,6.26828616788649e-233
"Hip1r",1.72546560562762e-93,15.4969946729373,0.371,0.041,2.58440238410905e-89
"Cd244a",4.46721075271421e-140,-15.4934387753986,0.008,0.32,6.69098826541534e-136
"Slc38a11",3.34486008356638e-134,15.4681886879358,0.409,0.019,5.00993143316573e-130
"Dab2",1.11798610073479e-273,-15.4618342332232,0.117,0.77,1.67451958168056e-269
"Fads3",6.230855026394e-36,15.4572719375359,0.153,0.038,9.33257465853294e-32
"Rgl1",3.71172123328994e-135,-15.4459983010608,0.034,0.45,5.55941606322167e-131
"Csf3r",5.44191994852086e-237,-15.445475779657,0.01,0.496,8.15090769889454e-233
"S100a9",2.01949304746465e-25,-15.4291287893742,0.796,0.535,3.02479668649256e-21
"Pycard",5.14202037116988e-177,-15.4024524442055,0.075,0.641,7.70171811193825e-173
"Lst1",0,-15.3944573870669,0.14,0.801,0
"Aldh3b1",0,-15.3879975725491,0.018,0.689,0
"Rab3il1",9.74407589168479e-195,-15.3866348876536,0.033,0.571,1.45946768705655e-190
"Klrk1",1.19240078202599e-98,-15.37821691385,0.027,0.337,1.78597789131853e-94
"Kcnk13",5.66820758925758e-210,-15.3744307015514,0.05,0.521,8.48984132719001e-206
"Cebpa",2.25464583811337e-172,-15.3590104310661,0.036,0.513,3.37700853632621e-168
"Cd80",4.04890136802039e-162,-15.3494808384415,0.005,0.383,6.06444446902094e-158
"Ccdc88b",4.28532677066034e-189,-15.3395408302705,0.005,0.424,6.41856243709506e-185
"Tmem106a",2.99215404721577e-269,-15.3277549667939,0.045,0.689,4.48164833191979e-265
"Hpgd",3.22437612123402e-225,-15.2854878808759,0.013,0.548,4.82947055438432e-221
"Napsa",9.22150923486572e-177,-15.2826966613405,0.009,0.424,1.38119765319819e-172
"Fcer1g",0,-15.2552010044179,0.023,0.9,0
"Anxa2",6.37306047042975e-73,-15.244206406399,0.141,0.465,9.54556997260967e-69
"Itgam",0,-15.2402076663097,0.005,0.805,0
"Ebi3",9.32913609467702e-165,-15.2314590610912,0.086,0.525,1.39731800426072e-160
"Ctsz",2.24462755511341e-178,-15.2156430808069,0.195,0.756,3.36200315204887e-174
"Coro1a",0,-15.2136775333893,0.02,0.831,0
"Plcl2",6.72852195096205e-295,-15.1553964345848,0.005,0.603,1.0077980178151e-290
"Itgax",5.61661643340838e-225,-15.1054605336329,0.008,0.442,8.41256809395908e-221
"Igsf9b",4.25778515973711e-215,15.1054413540231,0.647,0.086,6.37731061225425e-211
"Gm26632",2.3548851511948e-199,15.0955988581775,0.536,0.047,3.52714697945957e-195
"Neil3",4.82112575921356e-36,-15.0794095032265,0.149,0.37,7.22108216215008e-32
"Unc13c",2.60861049471045e-185,15.0737386416235,0.439,0.024,3.90717679897731e-181
"F830016B08Rik",1.00755001846587e-111,-15.0732492118925,0.021,0.354,1.50910841765818e-107
"Tnfsf9",3.48166364897847e-74,-15.0731773660763,0.063,0.402,5.21483581343996e-70
"Bin2",5.27270267857168e-235,-15.038513232266,0.013,0.528,7.89745407196466e-231
"Ccl6",0,-15.0368448116119,0.02,0.902,0
"Lgi4",1.64885225168389e-23,15.0362456430905,0.233,0.069,2.46965090257213e-19
"Sla",2.92679380945288e-256,-15.0343922885412,0.068,0.666,4.38375176779853e-252
"E230016K23Rik",1.32033013041845e-180,-15.0294197341401,0.002,0.388,1.97759046934075e-176
"Fmnl1",0,-15.024581129891,0.005,0.733,0
"Mcemp1",1.141102893595e-53,-15.0166241268511,0.046,0.27,1.70914391402659e-49
"F630028O10Rik",1.24473681588459e-189,-15.0156151375118,0.064,0.515,1.86436680283194e-185
"Cdca5",2.39865838583373e-97,-15.0075184167701,0.268,0.589,3.59271053030176e-93
"Lilra5",5.02124052912836e-212,-15.0066808621421,0.004,0.401,7.52081406452845e-208
"Ccnb2",4.63401319035735e-62,-14.9893590964145,0.053,0.286,6.94082495651723e-58
"Aqp9",5.84760451896437e-125,-14.9862460475434,0.274,0.573,8.75854204850483e-121
"Myo1f",0,-14.9784292740485,0.012,0.674,0
"Phf11b",2.84091491177483e-162,-14.9426241734341,0.103,0.575,4.25512235485634e-158
"Otulinl",1.40737255132277e-283,-14.9399113730915,0.005,0.597,2.10796260737124e-279
"Aoah",2.1428334227086e-174,-14.9347439856439,0.062,0.56,3.20953590053295e-170
"Lcp2",5.67517779236756e-207,-14.9177828717855,0.055,0.608,8.50028129740812e-203
"Ceacam1",2.46035727535458e-96,-14.9156418442248,0.019,0.319,3.68512312702609e-92
"Rtn1",9.50342240257893e-113,-14.9033438348158,0.02,0.339,1.42342260745827e-108
"Siglece",7.09011131139426e-45,-14.877754884846,0.119,0.338,1.06195687222063e-40
"Il6",3.56919906818827e-44,-14.8662522522234,0.197,0.383,5.3459463643324e-40
"Kmo",8.17081726769424e-267,-14.8369024446827,0.004,0.518,1.22382501035524e-262
"Slc2a6",6.91319636693776e-122,-14.8286151138135,0.043,0.414,1.03545855183994e-117
"C1qc",0,-14.8220392661282,0.09,0.814,0
"Map4k1",2.11248441402444e-217,-14.8155807724285,0.007,0.484,3.16407915532581e-213
"Pkib",1.67852136966508e-118,-14.8130898430055,0.028,0.404,2.51408930748435e-114
"Cd68",0,-14.7982118865692,0.005,0.799,0
"Mis18bp1",1.20347679143509e-202,-14.7758211263877,0.005,0.476,1.80256753821148e-198
"Uhrf1",6.32584872867502e-92,-14.7523111203039,0.052,0.372,9.47485622580945e-88
"Ifi213",2.05503686670627e-158,-14.7511907210142,0.01,0.414,3.07803421895265e-154
"Nuak2",9.45418892227651e-167,-14.7329635189733,0.075,0.526,1.41604841677858e-162
"Mfng",3.61725742385298e-107,-14.7265240611355,0.004,0.258,5.417928169447e-103
"Oasl1",2.34357620393596e-123,-14.7252462006065,0.139,0.513,3.51020843825528e-119
"Grn",5.61096640679757e-177,-14.7220592061243,0.182,0.755,8.4041054841014e-173
"Asf1b",5.42621729135808e-276,-14.7212829496194,0.014,0.561,8.12738825899613e-272
"Adgre4",3.55595868656062e-61,-14.7110540395329,0.165,0.329,5.32611492073049e-57
"Zmynd15",6.53804533023729e-203,-14.6938881341626,0.022,0.446,9.79268429562941e-199
"F5",1.84685774606261e-27,-14.6809384823472,0.243,0.342,2.76622353205258e-23
"Lrmp",6.06923190013885e-262,-14.68026212956,0.061,0.692,9.09049554002797e-258
"Gm4951",6.1434872583639e-94,-14.6659661885205,0.167,0.514,9.20171521557745e-90
"Npl",1.10952920189377e-239,-14.6585783285821,0.008,0.511,1.66185283859649e-235
"Ptgir",1.98426931037649e-97,-14.648182015982,0.106,0.529,2.97203857308191e-93
"Apoe",0,-14.6446354740075,0.074,0.684,0
"Clec5a",0,-14.6169954530842,0.002,0.595,0
"Gda",0,-14.6038018032373,0.032,0.735,0
"Hfe",7.07960672169369e-233,-14.5988506628001,0.016,0.56,1.06038349477528e-228
"Cdca3",1.70975562758922e-35,-14.5971728194462,0.056,0.266,2.56087197900313e-31
"Pianp",2.12433073123128e-106,-14.5918605718375,0.019,0.348,3.18182256923821e-102
"Tagap",7.13287019621558e-158,-14.5603676893938,0.018,0.421,1.06836129798917e-153
"Hck",0,-14.5135453205857,0.003,0.716,0
"Ifi208",2.45794298423997e-171,-14.4900935570176,0.008,0.438,3.68150700179463e-167
"Cd14",0,-14.4882626461286,0.077,0.835,0
"Lgmn",1.07097494632151e-125,-14.4793880877325,0.136,0.623,1.60410627460036e-121
"Gpr34",2.63774875808997e-225,-14.4766305234935,0.081,0.605,3.95082008986715e-221
"Ap1s3",5.60812285636327e-139,-14.4605164255778,0.01,0.352,8.3998464142609e-135
"Tbxas1",0,-14.4506147613116,0.005,0.805,0
"Spag5",9.79694907079994e-54,-14.4305351663899,0.013,0.222,1.46738703182441e-49
"Parvg",1.5445790312164e-288,-14.4170933534286,0.007,0.528,2.31347047295592e-284
"Cyp2ab1",3.29672500171494e-127,-14.3867191179876,0.044,0.478,4.93783470756864e-123
"Lsp1",1.25753225948175e-194,-14.3730854177349,0.07,0.594,1.88353181825176e-190
"Aim2",0,-14.3674040312987,0.007,0.654,0
"Cxcl1",1.72557964377574e-33,-14.3490728837016,0.387,0.45,2.5845731904473e-29
"Lpxn",1.38505746027978e-309,-14.3468429982448,0.021,0.639,2.07453906400705e-305
"Hp",3.14738108466721e-39,-14.3324367735702,0.128,0.216,4.71414738861454e-35
"Hist1h2ap",1.26377365152362e-44,-14.3270856079507,0.169,0.438,1.89288017525208e-40
"Lgals3bp",1.90655818642709e-216,-14.3227213009709,0.018,0.547,2.85564285163049e-212
"Brca1",1.78674286579736e-96,-14.3208470151348,0.101,0.426,2.67618346439129e-92
"Ccna2",0.000277946091940412,-14.3195605333213,0.375,0.352,1
"Maf",2.55691584441229e-196,-14.3185312301698,0.144,0.741,3.82974855176073e-192
"Slc7a8",3.34882973845599e-274,-14.3070971096304,0.004,0.542,5.01587718225938e-270
"Met",5.62871093386898e-25,-14.3002101266244,0.012,0.112,8.43068323674896e-21
"Adgrg6",3.91494784644637e-255,-14.2863824292597,0.029,0.607,5.86380888440738e-251
"Sdf2l1",9.30136433975691e-202,-14.2826019546262,0.02,0.555,1.39315835080879e-197
"Pik3cg",0,-14.2743355209204,0.007,0.72,0
"Ccdc122",9.18751893538776e-135,-14.2705463644129,0.056,0.435,1.37610658614238e-130
"Sub1",1.63084098897767e-62,-14.2684289450132,0.217,0.544,2.44267363329075e-58
"Kcna2",9.5079703843845e-76,14.2598028580918,0.487,0.141,1.42410380417311e-71
"Slc14a1",3.38758545629723e-240,-14.2379087903074,0.003,0.519,5.07392549644199e-236
"Taldo1",2.39231882279925e-65,-14.2324343504275,0.158,0.524,3.58321513278872e-61
"Tmem8",4.50065330202662e-91,-14.2154590835549,0.214,0.577,6.74107851577547e-87
"Crip1",7.83988184508576e-184,-14.2088174196774,0.082,0.653,1.17425750275695e-179
"Slc40a1",2.88507847293485e-47,-14.2066411648623,0.376,0.414,4.32127053676182e-43
"Aplnr",1.10136615665401e-20,-14.2050352512397,0.03,0.135,1.64962622943637e-16
"H2-Eb1",0,-14.196852448939,0.047,0.78,0
"Nfkbie",3.78605876299518e-215,-14.1910564546179,0.031,0.561,5.67075881521418e-211
"Piezo2",2.7943005943453e-112,14.1858787265517,0.386,0.033,4.1853034302104e-108
"Irf7",7.31347477060284e-111,-14.1786546567492,0.042,0.4,1.09541225114089e-106
"Batf",2.81526205147408e-64,-14.1594388613257,0.098,0.395,4.21669950069788e-60
"Ddx60",1.34137522698966e-119,-14.1532153836524,0.037,0.401,2.00911181498511e-115
"Cybb",0,-14.1407329443075,0.013,0.829,0
"Prkar2b",9.50159532312367e-122,-14.1171521013939,0.079,0.495,1.42314894749746e-117
"Adrb2",8.35076542489128e-177,-14.1027200599641,0.06,0.501,1.25077764534022e-172
"Pla2g7",0,-14.094255015783,0.04,0.738,0
"Ifitm1",1.36298750340208e-25,-14.0636248405819,0.135,0.254,2.04148268259563e-21
"Gm35853",1.86758512788136e-129,-14.0330661147742,0.009,0.308,2.7972690045407e-125
"Birc5",5.95832669642956e-21,-14.0005265171654,0.208,0.332,8.92438172591219e-17
"Gfra2",1.51748446516069e-112,-13.9759091784092,0.298,0.639,2.27288823191769e-108
"Pepd",2.63986827208888e-215,-13.9631843745565,0.075,0.706,3.95399469793473e-211
"Arl11",2.28821810311477e-220,-13.9559719367678,0.001,0.474,3.4272930748453e-216
"Crybg1",1.05589381109761e-135,-13.9527999831163,0.026,0.455,1.58151775026201e-131
"Tmem176a",0,-13.9437651566828,0.017,0.801,0
"Runx3",6.22157680325548e-170,-13.934633949288,0.063,0.484,9.31867773591606e-166
"Alox5",0,-13.9175616489284,0.002,0.705,0
"Pik3r5",5.46668329876398e-181,-13.9154061959615,0.002,0.426,8.18799824488869e-177
