"gene","cluster","avg_log2FC","p_val_adj"
"Bmp2",2,-3.1,0.008
"Mgp",0,1.6,0
"Mgp",5,-6.4,0
"Notch1",11,-6.6,0
"Runx2",10,3,0.05
"Runx2",12,1.9,0
"Runx2",13,-5,0
"Runx2",16,-5.3,0
"Sox9",2,-5.9,0
"Spp1",1,5.9,0
"Spp1",8,0.7,0.002
"Spp1",16,1,0.036
