"gene","cluster","avg_log2FC","p_val_adj"
"Cxcl1",6,-2.4,0
"Cxcl1",10,-0.9,0
"Cxcl10",9,-5.2,0.003
"Cxcl10",10,-17.9,0
"Il1b",9,6.9,0
"Il6",3,-7.3,0
"Il6",14,-1.3,0
"Il6",17,0.9,0
