"gene","cluster","avg_log2FC","p_val_adj"
"Ccl2",8,1.5,0.002
"Ccl2",9,1.4,0
"Ccl2",10,1.7,0
"Cxcl1",10,6.4,0.002
"Cxcl1",11,-0.9,0.042
"Cxcl1",14,1.5,0
"Cxcl10",8,-9.2,0.027
"Il1b",8,0.8,0
"Tnf",9,-5.5,0
