"gene","cluster","avg_log2FC","p_val_adj"
"F3",0,6.1,0.039
"F3",2,-1.2,0
"F3",3,1.6,0.077
"F5",4,-1.8,0
"F5",13,-1.6,0
"F5",16,1.7,0
"Serpine1",1,-1.1,0
