"","cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"1",17,0.12,-15.86,0.56,0.86,1,"Spp1"
"2",11,0,-14.7,0.83,0.87,0,"Spp1"
"3",8,0,13.21,0.57,0.54,0,"Spp1"
"4",14,0,-12.04,0.24,0.03,1,"Spp1"
"5",9,0,10.21,0.93,0.49,1,"Spp1"
"6",4,0.02,-9.24,0.61,0.48,1,"Spp1"
"7",10,0,8.74,0.9,0.88,0,"Spp1"
"8",1,0,6.97,0.53,0.6,0,"Spp1"
"9",16,0.09,0.92,0.6,0.38,1,"Spp1"
