"","cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"1",10,0,-13.9,0.76,0.9,0,"Spp1"
"2",4,0.05,13.26,0.6,0.61,1,"Spp1"
"3",8,0,-12.47,0.51,0.57,0,"Spp1"
"4",9,0,-8.42,0.77,0.93,1,"Spp1"
"5",2,0,5.84,0.86,0.5,0,"Spp1"
"6",14,0,-3.82,0.39,0.24,0,"Spp1"
"7",1,0,-1.11,0.21,0.53,0,"Spp1"
"8",11,0,-0.47,0.7,0.83,0.17,"Spp1"
