"gene","cluster","avg_log2FC","p_val_adj"
"Bmp2",3,4.9,0.037
"Mgp",0,-2.3,0.039
"Notch1",4,-3.6,0
"Notch1",13,-0.8,0.033
"Runx2",3,-3.9,0
"Runx2",4,6,0
"Runx2",11,-6.5,0
"Runx2",13,-7,0.001
"Sox9",1,-13.3,0
"Sox9",3,-6.3,0.013
"Spp1",1,7,0
"Spp1",8,13.2,0
"Spp1",10,8.7,0
"Spp1",11,-14.7,0.002
