"gene","cluster","avg_log2FC","p_val_adj"
"Bmp2",2,-6.4,0
"Bmp2",3,-8.2,0.087
"Bmp2",10,7,0
"Mgp",0,3.9,0.001
"Mgp",2,1.1,0
"Runx2",2,-4.2,0
"Runx2",4,5.1,0
"Runx2",10,3.1,0
"Runx2",12,2.7,0.006
"Sox9",1,7.2,0
"Spp1",1,-1.1,0
"Spp1",2,5.8,0
"Spp1",8,-12.5,0
"Spp1",10,-13.9,0
"Spp1",14,-3.8,0
